"pagina","texto","error"
44,"LA FIA DEL SOL Y DE LA LLUNA 45
—Si la repna se morís, iDeu li do molts d'afips i
de vidal, no e-hi ha vèl, me casava amb aquesta. j
L'homo no poria compendre com dimontre e-hi
havia allà aquelles casetes, com hep poria estar l l
tota solina aquella atlota, sa més descansada del
mon, p tan ben servida sense cap criat ni criada. Ú
ja hi estava mal a plerl p en tenia de maldecaps
sobre qui poria esser, de quina nissaga devia ve-
nir, quins devien esser es seus pares. Bé la pre.
guntà p la tornú preguntar sobre aquest punt, .
però tot va esser temps perdut, perque tantes vol-
tes com li demanú de quines gents venía, tantes
voltes va respondre:
—Ma mare n'es blanca,
mon pare n'es ros:
de la meua boca
no haureu pus raó.
Y no la va poder treure d'aquí p se'n hagué
d'anar... sense res en es fus. i
Es sol ja era post p re-de-post com trobé's
cassadors, que ja comensaven a tenir ansia d'ell,
de casta forta, p ja eren partits a cercar-lo.
Arriba amb ells a cà-seua. Ç no pogué estar
que no digués a la repna:
—I3O fieta, quina passada, sa d'avup de cap-
vesprel
— cQu'es estat2 (demanà la reyna).
—jQu'ha d'esser estatl (respòn el rep): jo t'ho
contaré.
",NA
45,"46 RONDAYES MALLORQUINES

Y li conta, fil per randa, tot lo que li havia suc-
ceít p havia vist, dins aquelles casetes blanques.

—jjesúsl ijo també hi vatx a fer-ho a n'xòl
diu la repna com el sent.

Se'n va tot d'una dins sa cupna, P Se posa a
dir: y

—Hala , carbó, pose't dins es fogó, ventador,
venta, pella, pose't demunt es foch, satria, aboca
oli dins sa pella... iHala, espediu, fora sònl jhala
dichl

Bé va cridar, però ni's carbó se va moure de
dins sa carbonera, ni es ventador se va bategar
jens, ni sa pella se despenjà des clau ahont estava
penjada, ni sa satria sortí des rebost, ni un fòti
mort.

— 4 E-hu veusP (depa el rep): se-hu veus2 l

La reyna, llunp de donarse per perduda, sortí
amb aquesta:

—Es qu'es sa primera vegada, Y no les tench
criades a ses coses. Tot vol cremar-hi oli: dexem-
hi pegar amb temps, P veurés tu.

Crida ses criades, p les diu:

— Posau-me foch en es fogó p sa pella demunt,
amb s'oli corresponent per fregir cinch pagells p
cinch molls, p, en comensar a bollir, digaum-ho.

: El rep bé l'estirava, que hu dexéús anar, però
ella, e-hu volgué arribar a s'entront.

Com ses criades anaren a dirli que s'oli ja bo-
llia, se planta devant es fogons, s'arromanga fins
",NA
46,"LA FIA DEL SOL Y DE LA LLUNA 47

en es colzos, pla/i1 entima ses mans dins s'oli bu-
llent, p vos assegur que les hi va treure ben aviat,
però ja no s'escapú d'una bona cremaponada.

Bé n'hi posaren de vermep d'ou p de coques
de crespinella: la cosa va pendre tan malament, P
li va caure tan avall es no haver sabut fer lo que
havia fet sa fadrineta de ses casetes blanques, que I
foren dos mals que se donaren ses mans cuantra I
ella, p dins quatre dies la se'n varen haver dupta I
al altre mon, p tothom plors p descapdell.

Des cap d'un anp, es nobles se presentaren a
n'el rep, p li digueren:

—Senpor rep, se fa precís que se torn casar:
Vossa Reyal Majestat ja hu veu: la reina, (al cel sia
ella p tots los morts), no li dexà cap fip que puga
dur sa corona es dia que Vossa Repal Majestat
falt, Deu li do molts d'anps de vida. Perque ja's Ú
sab: o prest o tart, la mort a tots mos aplega: no'n
dexa cap per llevor. Ara bé, per jove que sia Vos-
sa Repal Majestat p per anps que visca, que map
seràn tots es que noltros voldríem, vendrà un dia
que tan metex s'haurà de morir. 4Y que seria de
noltros si aquest dia l'aplegava sense cap fip a ne
qui dexar sa corona2 4 Que seria de noltros p de-
més vassalls, sense un rep que mòs comandús, que
fes justícia a tothom, qu'anús ajuda a n'es petits,
que capturús es dolents, p que mos és fer un còs,
contra tots es nostros inimichsP Vossa Repal Majes-
tat ja'hu veu: axí no porem estar, se fa precís que
",NA
47,"48 RONDAYES MALLORQUINES
se torn casar. Veja quina es s'atlota que més li
agrada, p que hi fassa via: lo que s'ha de empe-
nporar, que's venga.

El rep trobà que tenien raó, Y tot d'una li ven-
gué a la memòria aquella fadrineta de ses casetes
blanques, vora mar.

—Allò es una atlota (depa ell) que'n val de
mílies, val tot quant pesa p sèt vegades més. Cap
n'hi ha que m'agrat tant, ni d'un bon tros. Però
es mal es que no sé d'ont es sortida, ni ahont es
nada: no més sé qu'es s'atlota més guapa, aguda p
galanxona qu'haja vista may. Ja no es posible que
n'hi haja un'altra que m'agrat més ni tant... iSi al
manco sabéssem de qui es fial però no hu sabem,
ni ella hu vol dir, per cap vent del mon. Bé le-hi
vatx demanar, però no vatx poder treure en net
més que sa mare era blanca p son pare era ros,
p lé't si't vols ferl Sobre tot, no e-hi ha que fer con-
tes d'ella, mentres no s'esplich més clar, perque
eque dirien ets altres reps, que dirien es meus vas-
salls, sim casava amb una atlota que no sabem
d'ont surt, ni qui es son pare p sa mare jMe mou-
rien un renou terest, jseria una alronta per mi Q
per ellsl Vajal no e-hi ha res que fer amb ella: no
e-hi ha que pensar-hi pus.

Veent el rep que en cap manera poria casarse
amb sa que volia, comanà a n'es nobles de la Cort
que n'hi cercassen una: ells li varen treure sa fia
d'un comte vepnat, molt gran senyor. El rep va
",NA
48,"y La I i aa SP EN
LA FIA DEL SOL Y DE LA LLUNA 49 l
dir que Sí, p los envià a demanar-la: es comte hi
vengué a bé, tornaren amb s'atlota, p se va fer es
casament, p no'n faltaren d'alimares p de sarau.
Des cap d'un parep d'anys, un dia el rep, cas-
sant cassant, com se'n va tèmer, Se torna trobar de-
munt aquell puig d'ont destriaven tan bé tot es
badiu d'aquella plaja encantadora p aquelles trap-
dores casetes blanques.
Estendre-hi la vista el rep, p reverdir-li totes
ses nafres de s'altre pich, fou tot ú. Se va pre- I
sentar cop en sech dins sa seua memòria aquella
fadrineta, axí com l'havia vista sa primera vegada,
filant amb una filoa d'or en es portal de ses case-
tes blanques, amb ses ones en es seus peus, que li
tepen festa, p aquí tots es seus bons propòsits se'n
anaren en orri, es seu seny quedà tèrbol, Q una
forsa contra la qual va creure que no hi valia po-
sar pèu fiter, el se'n va dur per avall, p'es tom-
bant d'aquells pujols p montanpoles, tot dret a
ses casetes blanques, p no s'aturó fins que hi va
esser devant, p va haver vista sa fia des sol p de
sa lluna, que filava amb sa filoa d'or a Sa carrera,
just devora s'aygo.
Si hermosa p gentil l'havia trobada s'altre pich,
molt més la hi trobú ara. Tal fonch es seu astora- l
ment con la se va veure devant, que romangué
ferit-là, sense poder donar passa, tot embabapat.
Sa pitxorina se'n tem, p ja l'ha escomès:
—jSenpor repl gVossa Repal Majestat per aquí
",NA
49,"50 RONDAYES MALLORQUINES
altra voltaP 4 Y quin vent l'ha dupt2 Com se cam-
paP iVaja, que s'acostl... que s'acost, p seuró, —.
maldement no més sia una estoneta. Axò no vol
dir que, Si hi sèu molt, no'm fassa més pler.

Li trèu una cadira, ell s'assèu, p ella ja torna
prendre's filar, rallant p'es colzos, p dreta com un
fasser, just en es cantell de sa tenassa, fila qui fila,
p vénguen aguyers P més agupers, tan bons p tan
llarehs, que cada pich es fus, cupdant estellar-se
fent sa ballaruga, amb so tenrum feria ses ones.

Assetsuaxí, sense voler o amb dret seny, li do-
na sa vogada tan forta, que li cau dins mar.

— jAquest benept de fus, (diu ella), ahont se'n
es hagut d'anar a pegar un capficól

—iY ara com e-hu farós2 (diu el rep).

— jjesús, que d'aviat serà foral (respòn ella),
p pega crit:

—Guinavetetal vina, me taparós sa maneta,
perque m'ha d'anar a treure's fuset, que m'ha cap-
gudet a la mar.

Encara no hu va haver dit, com se'n vé vo-
lant sa guinaveta, p, Zas/ li tapa Sa mà, sa mà pe-
ga caplicó dins s'apgo, Q al punt Surt amb so
fus, pren sa fua cap a n'es bras, tocà, p romangué
confegida com si map l'haguessen tapada, Y la dò-
na seguí filant p rallant, lo metex d'un cadellet de
molí.

El rep se mirava tot allò amb uns ups que li
cupdaven a botir, com un ensensat, sense un fil de
roba que li tocés sa pell.
",NA
50,"LA FIA DEL SOL Y DE LA LLUNA 5I
Ella li va fer otertes de beure p de berenar,
però ell les tenia a ses soles des pèus a n'aquestes .
ganes: lo que ell volia era que li digués que havia
nom, de quines gents venia, qui era son pare P sa
mare. Bé n'hi va ler de preguntes P redepregun- j
tes, però no li pogué trèure més paraula qu'aques-
ta:
—Ma mare n'es blanca,
mon pare n'es ros:
de la meua boca
no haureu pus raó.
Y amb aquest sò l'enterraren, vup dir, amb
aquestes clarícies se'n hagué de tornar el rep, hora
baxa de tot, com acabà de veure que's demanar p
gremoletjar era ben per demés.
Quant arribà a n'es cassadors, ja fepa fosca
negra, p los trobà que'l cercaven com a rabiosos:-
S'espitxa amb ells a cà-seua, amb un cap com una
ferrada.
Tot d'una que veu la reyna, li Conta sa passa-
da que li havia succeída.
—4 Per axò tanta cosa2 (diu la repna, com e
sent). Jo també hi vatx a ter-ho.
—4Tu2 (diu el rep). jE-hu es vert es juvevertl
—3No, ell serà ben madurl (respòn sa bajana).
Sa seua cambra tenía una finestra que mirava
a mar: pega grapada a sa primera filoa que veu,
l'enserrega tropell tropell, pren es tus, se posa de-
vora aquella finestra, p ja es partida a filar, fila
",NA
51,"j B2 RONDAYES MALLORQUINES
que fila. No li sortia cap aguper condret, es fil tot
eren primarells, regruxos p berrugues, es fus no
se volia bellugar dins es seus dits. Com trobà
qu'era hora, pafaplum) el tira amb tota sa forsa
dins mar, 9 pega crit:

—Guinavetal vina a taparme sa mà, que m'ha
de treure's fus, que se'n es anat a fons.

Sa guinaveta no se va moure.

—IGuinaveta, dichl (torna cridar la regna),
vina depressal

Sa guinaveta no la s'escoltó.

— No e-hi ha remep, (diu la dona): tot vol cre-
mart-hi oli. Es es primer pich que li man fepnes, p
encara no la tench criada.

Y qque fa ella2

Se'n va, pren sa guinaveta, p Se tapa una mà,
però ja no la tirà dins s'apgo, perque va perdre'l
mon de vista, capgué estesa com un tronch, P
sanch p més sanch. N'hi sortia un broll esglapa-
dor, Y al punt feu una bassa qu'abrigava un pa-
rep de passes.

Allà dins la trobaren, més de mitx morta, a sa
mesquina. Si no la se'n dúen ben: depressa dins es
llit Y no li estanquen ses venes, colava la vida allà
metex.

Sa ferida li prengué tan malament, p s'aficà
tant dins es cap es no haver sabut fer lo qu'havia
fet sa fadrineta de ses casetes blanques, que se po-
Sú a no tastar res, se va fondre, se va fondre, P
",NA
52,"LA FIA DEL SOL V DE LA LLUNA 53
un desmaç la se'n dugué, p tothom plors p descap-
dell.
IN

Des cap d'un anp, es nobles de la cort se tor- Il AA
nen presentar a n'el rep, p li digueren: / I

—Senyor rep, Vossa Repal Majestat ja'u veu, /
ja tornam estar enrocats. La segona senpora rep- / /
na, (al cel sia ella p tots los morts), mos ha feta sa ——/
metexa passada de sa primera: s'es morta sense l j
dexar-li cap fip que puga dur sa corona, com a I
Vossa Repal Majestat, (Deu li do molts d'anps de 0,
vida), li sia arribada s'hora, p que qualque dia li —
arribarà no e-hi ha que posar-hi duptes, perque ja'S
sab: per llarch o per curt, mos ne toca una per
hom, Y no tenim que brancatjar. Per axò, que mos
ho perdon si tornam a entadar-lo: Vossa Repal Ma-
jestat ha de veure per que hu fepm. Sa questió es
que se torna fer precís que se cas. AXí no hi po-
rem estar: perque la mort p la vida Deu la té, p
com sempre hem de fer es contes demunt es mal, si
Vossa Repal Majestat, Deu no'u permeta, faltava,
y no dexús cap infant, 4que seria de noltros p de
tot es repnat, sense un rep que mos comandós,
que fes justícia a tothom, qu'anús ajuda a n'es pe-
tits, que capturús es dolents, P mos fés fer un còs
a tots, cuantra es nostros inimichsP Senpor rep,
e-hu fassa per amor de Deu p de sa Mare: que
trip S'atlota que més li agrat, p que se cas abans
de més raons, que Deu ja diu: apde't p t'updaré.

T. .—4.
",NA
53,"54 RONDAYES MALLORQUINES

El rep axí metex trobava qu'havien pensat bé:
però com ja estava renegat a no casarse Si no era
amb aquella fadrineta de ses casetes blanques, Y Sa
pitxorina no li volia dir qui era son pare p sa ma-
re, l'homo se vega estret de tot. Estava lo que se
diu empençyalat: ni poria passar envant ni enrera ni
per cap vent, ni poria estar aturat, si movia un
pèu, pegava dins un fondal esglapador, sense fons,
si no'n movia cap, el se'n havia de dur per forsa
un pur desapre. Es nobles l'estiraven perque se
casés, p no tenia més remep que casar-se. Ell,
sense fer un desbarat que li eostàs perdre es viatje
pera sempre, no se poria casar en no esser amb
aquella fadrineta, però sa gran trapdora no li volia
dir de qui era fia, ell, que no hu hagués aclarit,
per cap vent del mon s'hi poria casar, perque tot
hom s'alsaría cuantre ell, p tendria males hores
ferm. I

Després de pensar-hi molt, va resoldre anar-
s'en a ses casetes blanques, P no tornar que no ha-
gués aclarit allò que li posava tanta terra a s'es-
cudella.

Dit p fet, pren un cavall, p ja es partit cap
allà, pensa qui pensa com se'n desfaria d'aquells
trunfos. Quant devallava ses muntanypoles de sa
plaja, va dir:

— Ja hi som demunt, p encara no sé, finis-finis,
de quin enginy m'he de valer. Tornarle-hi dema-
nar tot dret, es per demés: prou m'ha fet tocar
",NA
54,"LA FIA DEL SOL Y DE LA LLUNA 55
amb ses mans que no hu vol dir. Si no me valech
d'altres medis, me'n hauré d'estrènper es cap...
No res, ja sé que faré: com tots ets abres y herbep
de per aquí dúen tanta tòria, tanta d'esponera,
m'amagaré un tros llunp de ses casetes, que jo la
veja a ella, p ella no'm veja a mi. En veure-la
que surt p se fa jens enfora, jo me'n hi entr, me
amach dins un auberjó qualsevol, p allà ja trassa-
rem es pla de batalla. De totes maneres, 4tan des-
graciat seré, que no puga arribar a cap aclaricieta,
sobre sa nissaga d' aquesta gran trapdora2

Al punt va esser devora ses casetes, havja de-
Xat es cavall entera, mirava ben arreu si la vega
guaptar per cap finestra o portal.... no la veu
lluir en lloch,... s'amaga dins un remolí ben espès
de pins, sibines p ciprells, V ell vepa tot lo que se
fepa a ses casetes: p de ses casetes no'l porien
veure a ell.

Allà s'estigué hores p més hores, sense afinar
fressa de res. No hi havia cap porta tancada, tot
estava ben esbadellat, però no guaptava en lloch
aquell diantre de fadrineta, que li torbava tan fort
l'enteniment.

—jSabs que havia de'esser mortal (pensava
entre sí metex). jSabs que se'n havia d'esser ana-
dal Però no, tot està aubert de pint en ample, just
con ses altres vegades. Si e-hi hagués altres habi-
tants, sempre haurien feta mica de mudansa a part
0 banda. No, es cor me diu que no es morta, qu'es
viva, Y qu'es aquí.....
",NA
55,"56 RONDAYES MALLORQUINES
Debanant fil d'aquesta manera, sa fa mitx dia,
se fa mitjan capvespre, se fa hora-baxa... L'homo
ja perdia es coratje de tot, de poder entrar d'ama-
gat dins ses casetes, quant assetsuaxí la veu que
surt demunt es portal, hermosa p Xalesta com s'au-
ba, p que pren arenal, més lleugera qu'una titina,
un cop ran-ran de s'aigo, que ses ones, com venien,
li remupaven es peus, un cop fent-s'en enfora, per
demunt aquella arena tan neta, tan blanca, tan tina,
ahont no hi vepen més petjades que ses seues p
ses tevelles qu'es vent hep fepa, just onetes con-
glassades. Per allà la dona cercava copinpes, cor-
nets, sipies P pedretes llises, d'aquelles tan hermo-
ses que se fan per ses plajes.
Com el rep la veu tan entretenguda amb axò,
surt falaguer de dins s'amagatap, p de puntes
de puntes, cap a ses casetesl Se'n hi entra, Ç Se
enfonya dins es rebost, derrera un parep d'aufàbies
d'oli, més arrufat qu'un erissó.
Ella no's va tèmer de res. Com comensava a
fer fosqueta, se'n torna a s'alberch: pren sa filoa
pp estus, Ç halal fila qui fila, sense perdre cala
map. Passú tota rabenta la corona p un enfilap de
parenostros a un sens-fi de sants, p el rep que la
sentia, p depa derrera, però ben petit ben petit,
que's collaret de sa camia no'l sentís, quant p més
sa fadrineta, p no's bategava, pensa qui pensa com
s'ho feria per sortirne en bon nom, de tal marruell.
Ella, com se va esser senpada, diu:
",NA
56,"LA FIA DEL SOL Y DE LA LLUNA 57
—jVerge Santíssima des meu corl ja serà hora
de fer es sopar. Hala si'n sortim:—Carbonet, po-
se't dins es fogonet.
— Y es carbonet péga enfupta de dins sa carbo-
nera, Y tot dret dins es fogó, p diu:
—Senporeta. ja hi som.
—Armolletes p paleta, (diu ella) descolgau es
foqguet, p dups ses brasetes demunt es carbonet.
Y ses armolles y sa pala ja estén abordades a
n'es foch colgat, p, frichi/ tiren ses brases demunt
es carbó, Y diuen: :
—Senporeta, ja les hi té. Ò,
—Ventadoret, (diu ella) venta depressa en es
fogonet, fins qurestiga ben encès.
Y es ventador ja's partit, /reca-lrechi, treca-
trech, que cupdava a fer up, venta quí venta. Al
punt va tenir es carbó que feya flamaradeta, Y diu:
--Senyoreta, ja està.
—Grexonereta, (diu ella) pose't demunt es fo-
quet, p tu, satrieta, aboca oli dins sa grexonereta
fins qu'estiga bé, tu, guinaveteta, tapa es gre-
llet, es juvevertet, un parep de tomatiguetes, un
pebret, estorfepa una cabesseta d'aps, pose-hu tot
dins sa grexonereta, P tu, cupereta, remene-hu fins l
qu'haja sofregidet bé, p tu, saleret, dexa-hi caure
Sal abastament. jAlerta que no n'hi capga massal...
que fa tornar ximples, Y no convé esser-ho.
Y heu de creure p pensar que encara no hu va
haver dit, com sa grexonera ja se posa demunt /
",NA
57,"58 RONDAYES MALLORQUINES
es foch, p se'n vé tota mesa sa Satria, Y e-hi tira
un bon ratx d'oli, p se presenta tot xarpat es sa-
ler, tomba un poch p e-hi dexa caure sal que be-
netjàs. Mentres tant sa guinaveta tapa es grell, es
juvevert, tres tomíútigues, un pebre vermep ben
eruxent, péga cop amb so mànech demunt sa ca-
— bessa d'aps, l'estorfepa ben estorfepada, Q hala
viatjes demunt sa fupa cap a sa grexonera, P, fins
que le hi tengué tot, que sofregí, p sa cupereta ja
hiacudex, p bones remenades a n'es sofrit per que
no se cremàs.

—Senporeta, ja està, (diuen tots com e-hu
han fet).

—VYdò tú, guinaveteta, (diu la dona) torque't, P
llésca ses sopes dins un plat, p, jalertal primes les
vup. Bé hu sabs tu, que no som afectada de tas-
Cons.

Sa guinaveta s'axuga bé a un cànpom que hi
havia ben net, penjat per un cornaló a un clau, P
ja es partida a llescar sopes, p les fepa que claret-
javen, just neules.

—Senporeta, (diu sa cupera) es sotrit ja es-
tú bé.

—Ydò tú, jerreta, (diu la dona) aboca dins sa
grexonera s'apgo que s'es mester,

Y al acte se presenta sa jerra, tota resolta, p,
rrreeel aboca s'apgo que li havien comanat, p
se'n torna dient:

—Senporeta, ja està abocada.
",NA
58,"LA FIA DEL SOL Y DE LA LLUNA 59

—Y dò tú, platet, (respòn ella) aboca ses sope- l
tes dins sa grexonereta, p jalerta a vessarne capl

Y es plat, tot generós, pren el vol cap a sa
grexonera, P com es ben a s'endret, zas/ se gira l
demunt devall, p totes ses llesques, p/a// peguen
dins sa grexonera, P no va fer cap esquitx ni va
vessar res,

Y sa cupera que fepa s'aviona de tot, pitjant p
ationant ses llesques, a fi de que se compartissen
p se componguessen bé, p fepa pujar es sofrit,

Mentres tant sa senyoreta diu:

—Hala, tauleta, pose't e's mitx, tovapetes, es-
teneuvos-hi demunt, platet, cupereta, forqueteta,
guinaveteta, olivetes, tassonet, capsaneta, torca-
boquets, posau-vos allà hon vos pertoca.

Y tot d'una sa tauleta se posa's mitx p ja s'hi
estenen ses tovapes, p comparexen, volant com
estels, es plat, sa cupera, Sa forqueta, Sa guinave-
ta, es platet de ses olives, es tassó, sa capsana p
es torcaboques, P tots se posen allà hont los per-
tocava.

—Senporeta, ja hi som, (diuen ells) mentres sa
cupereta crida:

—Senporeta, ses sopes ja estàn bé.

—jHala idòl (diu ella), grexonereta, pose't de-
munt sa capsaneta, p farem via, que bona talent
duch.

Y sa grexonera, glech, glech, S'alsa des foch,

p no s'atura fins que s'assèu demunt sa capsana, p
diu: P
",NA
59,": 60 RONDAYES MALLORQUINES

—Senporeta, quant tenga gust.

Aquí la dona dexa sa tiloa p es fus, diu es pare""
nostro a Sent Francesch, que mos don el pa de
cada dia, y ses tres Ave-Maríes: se senya, se fa
plat, p hala qui hala, bones bocinades.

—Poalet, (diu ella des cap d'una estona) du'm
ago fresca.

Y es poalet pega capficó dins sa cisterna, surt
ben al raset, p se planta demunt sa taula.

Ella beu, acaba de sopar, p ja torna pendre sa
filoa p es fus, Ç hala fila qui fila, dreta e's mitx de
la casa, Ç venguen uns agupers d'una brassa, p es
fus que cupdavya estellar-se fent sa ballaruga.

Y el rep qu'estava arrulat derrera ses aufàbies,
sense sebre que s'havia de fer, tirant plans Ç més
plans, però tots esguerrats, que's millor no valia
un gafet ni una guya escossada.

Y sa senyoreta tila que fila, sa més descansa-
da del mon, esperant que li vengués sa sòn, Y no
n'hi venia.

Sa llantieta al punt comensa a fer mala cara, p
exhala aquesta veu:

—Senporeta, m'apach.

—Satrieta, (diu la dona) posa oli a sa llantieta.

Aquí'l rep s'axeca, sa satria estava demunt
aquelles aufabies, p l'agafa amb ses dues mans.

—Ara hu veurem si n'hi posaré, (diu ell, P la
tenia ben estreta). jJa serà el dimoni Si n'hi posal

Ja hu crech que sa satria no se va moure.
",NA
60,"LA FIA DEL SOL Y DE LA LLUNA 61

Sa llàntia al punt torna dir:
o —3Senporeta, m'apachl

—jSatrietal (respòn la dona) gno t'he dit que
posasses oli a sa llantieta2

—jSenporeta, me ténenl (va respondre sa sa-
tria).

—e Te ténen2 iVaja, dexa ses bèrbes per una
altr'horal iFé vial

—jSenporeta, m'apach de tot de totl (elamí sa
llàntia, amb una veu que casi no la sentien).

Com sa senyoreta veu allò, ella que tenia un
genió com a foch, se crema de tot, p pega crit: .

—iSatrietal sno t'he dit p redit que posasses
oli a sa llantietaP jijCom som FIA DEL SOL Y DE
LA LLUNA, que, Si vench, en faré unalll

Com el rey sent allò, ja ha amollada sa satria,
surt corrents de dins es rebost, se planta devant
ella tot xaravel/lo, p diu:

—j Aquesta paraula'm bastal... jAquesta parau- l
la esperava de sa teua bocal... jja sé de qui éts
fial jAra'm puch casar amb tul jSi me vols, di-
gue-hu, p, com més prest, millorl

Ella va dir que sí, p el rep cupdà a pèrdre's
seny, de gojós p content.

—No res (diu ell): tu espere-m aquí, Y ara me-
tex me'n vatx a cà-meua a enrangar la cosa, P
demú vendré amb tot s'acompanpament per me-
nar-t'en, p se farà s'esclatit.

iQue l'havia de capturar sa fosca a n-el reyl
",NA
61,"62 RONDAYES MALLORQUINES

Se'n anava tan peus alts, que amb cada passa feya
un destre, arriba a n'es cavall, li pega bot, p de
d'allú cap a ses casesl Va fer axicar tothom, va
cridar tots els nobles de la cort, los diu que ja té
s'atlota que li agrada, qu'es... sa fia del sol y de
la lluna, sa cosa més garrida, aguda p gentil que
enteniments d'homos se puguen imaginar, V que
se fassen tots es preparatius per anar-la a cercar
p fer ses noces lo'ndemú metex.

Axfu téren. Lo'ndemà el rep p tota la cor
se'n anaren a ses casetes blanques d'aquella plaja.
Trobaren sa fia del sol y de la lluna demunt es
portal, P, com la véren, tots quedaren amb un peu
alt. Tots depen que no n'havien vista cap map de
tan guapa, ni era possible que n'hi hagués un'altra
que li arribús de cent llegos.

Menaven un cavall blanch per ella, amb tot
s'ensellament de plata, or p seda, Amb un bot s'hi
posú demunt, p, costat per costat del rep, partiren
amb tota s'acompanpada, que cupdaven a treure-se
ets ups, mirantla-se p fent esclamacions. Per allà
hont passaven, com ja havia corregut per tot sa
noticia de s'hermosura pÇ gentilesa map vista de la
repna novella, se despoblaven ses viles p ciutats,
p tothom s'abocava, p s'empenpien, p fepen ones
per poder-la veure bé p contemplar-li d'aprop to-
tes ses perfeccions. Y la se cupdaven a menjar
amb sa vista, Y li tancaven es pas, Q no hi havia
que dir-los res ni comanar-los que fessen amples,
Vy tothom clamava:
",NA
62,"LA FIA DEL SOL Y DE LA LLUNA 63 È
—jO que hu es de guapal jO que hu es de ,
bella donal jGròs mos ho havien fet, però encara l
no havien dit la mitat de lo qu'es ellal /Quin pos- i
sible es no embabapar-s'hi, devant aquesta cara
seual jBon gust té's nostro repl
Tant era sa gent que s'abocí, Y tan poca via
pogué fer s'acompanpada, que com arribaren a
cà'l rep, ja fepa fosca negra, p e-hu trobaren tot
encès, qu'es llums se tocaven per tot, p aquell
grandiós casal com qu'hagués de fer flamada. I
Idò bé: tot d'una que hi entrà sa fia del Sol p i
de la lluna, costat per costat del rep, tanta clare-
dat dexava anar Sa seua cara, que tots es llums
que hi havia s'aturaren cop en sech de fer claror,
lo metex que si los haguessen trets defora al fi
del mitx dia.
No vos dich res, el rep com devia estar, P es
crits de jvival, p es bots. p ses mansballetes que z
tothom fepa: cupdaren a tornar locos.
Tot ja estava a punt de pastora mia, p lo'nde-
mú dematí se va fer es casament, Y llavò ses no-
ces. El rep convidú tothom, Y menjaren p begue-
ren fins que se pogueren aguantar. Aleshores se
armú un ball d'allò més vitench, Y sa ballera fou
un mal que se prengué: ballaren fins a la mala Ll
hora.
El rep p la reyna arribaren a tenir una partida
de fips, lo més avenguts p galanxons, visqueren
anps p més anps lo més a pler P en sana pau amb
",NA
63,"64 RONDAYES MALLORQUINES
tothom, Y Si no se moriren, encara son vius. Y al
— Cel mos vegem tots plegats. Amen.
Torra Nova, Agost de 1896.
",NA
64,"ELL LL LLOCS l
LA PRINGESA BELLA Ò /
DUE EE CES EES ll
XÒ era un rep que no més tenia una fia,
A tènra, ben tapada, blanca com la neu Q —
hermosa com el sol.
Un dia ses dames la pentinaven dalt es terrat
amb una pinteta d'or que Son pare havia feta fer
aposta per ella, p la fepen esclatar de riure, per- l
que li ballaven l'apgo devant, p eren ses atlotes :
més xaravelles p devertides que se fossen vístes
map.
Assetxuaxí, passa un esbart d'aucells verts, p
un que parexia's caporal pega fúa, p Zas/ los
(1) La'm contaren la Escma. Sra. Marquesa de Montoliu,
nadiua de la ciutat de Mallorca, na Rafela Ca/oxa, de Son Serve-
ra, y el conegut escriptor mallorquí En Juan Ll. Estelrich, na-
diu d'Arté,
",NA
65,"I 66 RONDAYES MALLORQUINES
pren sa pinteta de dins ses mans, p per amunt P
per amunt, p tots ets altres derrera ell, P... bona
nit si't colguesl no'n véren pus la pols.

La princesa aquí va perdre ses riapes, p Se
posó trista p trista.

Lo'ndemú ses dames la tornaven pentinar de-
munt es terrat, però amb una pinta de plata, P
trepen tot s'estam, pç embuyaven fil a betzef, per
veure Si li farien espassar aquell engronpament
tristor que la tenien tan mostia.

A forsa de forses li fepen fer desiara sa mitja
axí metex, perque eren penjadores per una bèr-
ba, P ja no'n nexeràn de més facetes p etxerevi-
des.

Com la varen haver pentinada, p eren parti-
des a fer-li es tronch de sa trunpella, estrenyent-li
es cabeps amb una veta que tenia un fil de seda,
un fil de plata ç un fil d'or, p tepa un mostretjat lo
més garrit, se'n vé, volant volant, aquell metex
esbart d'aucells verts: es qui parexia's caporal pe-
ga lua a sa veta, té sòrt de clavar-li es béch, ses
demés, de denou que los vengué allò, sense voler
examplaren ses mans, sa veta se despassa, p s'au-
cellet amb ella per amunt V per amunt, Ç tot s'es-
bart derrera ell, P... jbona nit si't colguesl no'n
véren pus la pols.

Si es primer dia la princesa havia perdudes ses
riapes p s'era posada trista P trista, més les va
perdre's segon, p més trista se posà, p s'hi véren
",NA
